Council District,reports,council_district_name,population,households,housing_units,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_any_race,median_household_income,per_capita_income,unemployment_rate,poverty_rate,pct_households_cash_public_assistance,pct_households_ssi,pct_vacant_housing_units,pct_renter_occupied_among_occupied_units,rental_vacancy_rate,median_gross_rent,median_home_value,pct_bachelors_or_higher_proxy,pct_high_school_grad_proxy,pct_households_broadband,pct_with_disability_proxy,pct_language_other_than_english_proxy
29,381,City Council District 29,171852,65968,70182,0.3249889439750483,0.05311547145217978,0.2752775644158927,0.2435409538440053,97387,51346,0.05299581726329513,0.09693727932810171,0.02901406742663109,0.05067608537472714,0.06004388589666866,0.5058816395828281,2.6,2020,618994,0.352006377580709,0.1444149617112399,0.9354383943730292,0.1068361147964528,0.5100086120615414
35,1274,City Council District 35,171534,74054,79922,0.3755232198864365,0.3452376788275211,0.06512994508377348,0.1434934182144648,102837,65313,0.07523983191944819,0.1514408411785112,0.05706646501201826,0.07228508925918924,0.07342158604639523,0.7565965376617063,2.8,2050,1142075,0.4233621322886425,0.10843331351219,0.9043265725011478,0.1068476220457752,0.2314060186318747
7,1112,City Council District 7,160875,64193,73000,0.3777653457653458,0.1474001554001554,0.09754778554778556,0.3363418803418803,85848,62397,0.08840978315224804,0.2097226907766008,0.05296527658778995,0.08401227548175035,0.1206438356164383,0.7791659526739676,6.2,1804,1001803,0.4204879564879565,0.09627972027972027,0.8942252270496783,0.126974358974359,0.4261320901320901
18,368,City Council District 18,164170,59985,63665,0.02647865017969178,0.2668697082292745,0.1162027166961077,0.5492538222574161,51676,25976,0.1028370747830877,0.2521664685484815,0.07740268400433442,0.117312661498708,0.05780256027644703,0.7638909727431858,3.1,1507,546261,0.1394530060303344,0.1931534385088628,0.8526298241226974,0.1555278065419992,0.5473289882438935
31,196,City Council District 31,181547,57427,60141,0.1235547819572893,0.6114229373109994,0.03333021201121473,0.1785983794829989,83565,35169,0.08083005801983904,0.1588637707271755,0.05997179027286816,0.1016769115572814,0.04512728421542708,0.5163250735716649,2.1,1632,637133,0.1821236374051898,0.1932006587825742,0.8908004945408954,0.1159699692090753,0.2544960809046693
39,994,City Council District 39,175480,70581,76160,0.6209083656257123,0.05594369728744016,0.113175290631411,0.1398905858217461,146162,88403,0.06306519998814007,0.09878260469714562,0.04264603788554994,0.03427267961632734,0.07325367647058824,0.6103058896870263,3.1,2526,1406887,0.5049464326418965,0.07651584226122635,0.9229396013091342,0.07807157510827445,0.3025359015272396
40,1080,City Council District 40,173551,69680,75290,0.233418418793323,0.4974042212375613,0.06678728442936083,0.144263069645234,80766,46358,0.06383178938123418,0.1556638897938288,0.04791905855338691,0.0700918484500574,0.07451188736884048,0.8015499425947187,3.7,1741,864429,0.2921389101762594,0.1899095942979297,0.8790183696900115,0.09553963964483064,0.3246423241583166
51,332,City Council District 51,181572,62551,66273,0.7462714515453924,0.00974819906152931,0.09847884034983367,0.1236919789394841,114790,48188,0.04459601259181532,0.06955158114443162,0.01975987594123195,0.0423174689453406,0.05616163445143573,0.2057840801905645,4.9,1826,685198,0.2793437314123323,0.1974808891238737,0.9101852888043356,0.09530103760491704,0.2738913488863922
34,1022,City Council District 34,166665,67409,70571,0.3947259472594726,0.08603486034860348,0.07957879578795787,0.4024060240602406,86779,50265,0.07953126599119845,0.2040407323150255,0.08506282543873964,0.06957527926538,0.04480594011704524,0.8701063656188343,2.2,2053,963752,0.3270092700927009,0.1357933579335793,0.8885015354032845,0.0979389793897939,0.4834788347883479
22,790,City Council District 22,147999,64475,78667,0.5062872046432746,0.04935844161109196,0.1379266076122136,0.2588058027419104,96197,56079,0.07348805279358682,0.1059606336479301,0.03736331911593641,0.03711516091508336,0.180406015228749,0.7861962000775494,3.4,2158,863971,0.4096446597612146,0.1520888654653072,0.9357890655292748,0.08913573740363111,0.4676315380509328
9,1523,City Council District 9,190866,80982,89857,0.1597089057244349,0.477570651661375,0.04642000146699779,0.2625035365125271,58045,43988,0.1064639902652522,0.2423930432578842,0.07170729297868662,0.0904645476772616,0.09876804255650644,0.84786742732953,4.1,1394,824783,0.30516173650624,0.1643613844267706,0.8652293102170853,0.1404545597434849,0.3359948864648497
41,755,City Council District 41,177923,68509,73219,0.07392523732176279,0.6914845185838818,0.01405664248017401,0.1535889120574631,51326,28745,0.105222227459113,0.2778302316057697,0.08781328000700638,0.1043366564976864,0.06432756524945711,0.825307623815849,2,1431,789901,0.1647903868527397,0.235787391174834,0.8492168912113737,0.1371885590957886,0.1935668800548552
2,646,City Council District 2,165141,83146,97294,0.5449343288462587,0.077660907951387,0.1583555870437989,0.1732519483350591,113463,102029,0.05030941091376678,0.1674845936895224,0.0451374690303803,0.04868544488009045,0.1454149279503361,0.7467106054410314,3.5,2240,1045369,0.5136943581545467,0.07486935406713051,0.923508046087605,0.1054190055770523,0.2703931791620494
