Council District,reports,month
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,12
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,11
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,10
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,9
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,8
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,7
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,6
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,5
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,4
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,3
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,2
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
29,381,1
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,12
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,11
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,10
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
35,1274,9
